Experiment log
Epoch	ClsLoss	SrcAcc	TarAcc
Epoch:1.0	2.8387	0.3710	0.4214
Epoch:2.0	1.3560	0.6351	0.4704
Epoch:3.0	1.1013	0.6986	0.4931
Epoch:4.0	0.9832	0.7327	0.4981
Epoch:5.0	0.9680	0.7401	0.5346
Epoch:6.0	0.8581	0.7558	0.5057
Epoch:7.0	0.7173	0.7909	0.5245
Epoch:8.0	0.6601	0.8076	0.5421
Epoch:9.0	0.5952	0.8246	0.5182
Epoch:10.0	0.5543	0.8293	0.5258
Epoch:11.0	0.5204	0.8371	0.5308
Epoch:12.0	0.4771	0.8601	0.5233
Epoch:13.0	0.5266	0.8413	0.5371
Epoch:14.0	0.4446	0.8669	0.5031
Epoch:15.0	0.4208	0.8708	0.5434
Epoch:16.0	0.3947	0.8758	0.5157
Epoch:17.0	0.3784	0.8875	0.5245
Epoch:18.0	0.3375	0.8988	0.5119
Epoch:19.0	0.3219	0.9002	0.5333
Epoch:20.0	0.3089	0.9042	0.5233
Epoch:21.0	0.2914	0.9095	0.5283
Epoch:22.0	0.2778	0.9127	0.5233
Epoch:23.0	0.3081	0.9052	0.5459
Epoch:24.0	0.2667	0.9173	0.5270
Epoch:25.0	0.2918	0.9063	0.5560
Epoch:26.0	0.2427	0.9233	0.5358
Epoch:27.0	0.2252	0.9286	0.5270
Epoch:28.0	0.2167	0.9290	0.5157
Epoch:29.0	0.1986	0.9382	0.5623
Epoch:30.0	0.2082	0.9340	0.5358
Epoch:31.0	0.1967	0.9350	0.5673
Epoch:32.0	0.1916	0.9428	0.5585
Epoch:33.0	0.2174	0.9336	0.5484
Epoch:34.0	0.1628	0.9503	0.5522
Epoch:35.0	0.1724	0.9439	0.5560
Epoch:36.0	0.1690	0.9485	0.5459
Epoch:37.0	0.1603	0.9507	0.5409
Epoch:38.0	0.2639	0.9485	0.5597
Epoch:39.0	0.6059	0.8949	0.5346
Epoch:40.0	0.2091	0.9400	0.5447
Epoch:41.0	0.2040	0.9368	0.5396
Epoch:42.0	0.1867	0.9425	0.5535
Epoch:43.0	0.1736	0.9432	0.5270
Epoch:44.0	0.1649	0.9457	0.5396
Epoch:45.0	0.1838	0.9407	0.5497
Epoch:46.0	0.1433	0.9553	0.5560
Epoch:47.0	0.1352	0.9578	0.5434
Epoch:48.0	0.1456	0.9567	0.5472
Epoch:49.0	0.1413	0.9528	0.5472
Epoch:50.0	0.1251	0.9645	0.5623
Epoch:51.0	0.1421	0.9549	0.5384
Epoch:52.0	0.1281	0.9652	0.5396
Epoch:53.0	0.1454	0.9641	0.5497
Epoch:54.0	0.2204	0.9457	0.5346
Epoch:55.0	0.1484	0.9574	0.5459
